ANAL_CODE,KEYWORD_GUBUN,KEYWORD_POSITIVE,SITE_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
ANAL-211104-0025,0,P,0,좋네요,너무,좋아요,아주,의자,3.14,2.16,2.09,1.7,1.6
ANAL-211104-0025,1,P,0,의자 발이 뾰족해서 아이발이 자주 다쳐서 속상했는데 의자발캡이 안정적으로 보호가 잘 되었네요,바닥이 원목마루라 엄청 조심했는데 이제 맘 편히 의자를 끌었다가 놨다,나무의자 발 밑에 플라스틱이 되어 있어 장판이 잘 찍혔는데 너무 만족 스럽습니다,여러 의자발캡을 써봤지만 다  얼마 못가서 벗겨지던데 이거는 착 감기는게 너무 만족 스럽습니다,감사합니다,,,,,
ANAL-211104-0025,0,N,0,의자,,,,,1.74,,,,
ANAL-211104-0025,1,N,0,더 낮은 가격으로 된 의자발캡도 있는데 금방 벗겨지고 밀착력이 낮습니다이 상품은 한 번 끼면 벗겨지지 않아 걱정이 안되네요,완전 대만족예요,좀 크네요,의자발커버를 씌우고나니 소리도없고 부드럽게 의자가 끌립니다,한꺼번에 왕창 구입했으면 좋았을텐데요식탁의자 모두 끼워보니 넘 좋아서 아이 트렘폴린 다리에 끼우려고추가로 구입했는데 보니까 다리가 6개라서 추가주문해요,,,,,
ANAL-211104-0225,0,P,0,좋아요,만족,깔끔,,,2.85,1.17,0.38,,
ANAL-211104-0225,1,P,0,칼이 무거워서 떨어지지 않을까 걱정했는데 자력이 강해서 떨어질 일은 없을 것 같아요,칼을 늘어 놓는게 좀 이상했는데 쓰기도 편하고 제법 깔끔합니다,40하길 잘했네요,좋아요,자주쓰는칼 가위 과도를 붙여쓰는데 첨엔 너무 어색하더니 지금은 큰걸 주문할껄 싶네요,,,,,
ANAL-211104-0225,1,N,0,척척 잘 붙네요 진작에 살걸  고민만 한 3개월이 후회됩니다,,,,,,,,,
ANAL-211104-0031,0,P,1,너무,의자,냄새가,만족,소리,2.76,2.29,1.28,1.14,1.07
ANAL-211104-0031,1,P,1,요즘은 예전처럼 초록색만나오는게 아니라 이런 회색 흰색 검은색으로 다양한 디자인으로 나오고일단 끼워두면 절대 벗겨지지도 않고바닥도 전혀 신경쓰이지 않고의자  움직임에 예민해지지 않아 너무 만족하고 있습니다가족들한테도 잘 샀다고 칭찬 들었어요한개당 800원대로 계산되어 일반 체어슈즈보다는 가격이 나가지만진작 사용하지 않은것이 후회스러울만큼잘 사용하고 있습니다,매장에서만 구입하다가 온라인으로 구매하니 더 저렴하고 배송도 빠르고 만족합니다,뭐 의자 다리에 끼워놓고 굳이 코를 그곳으로 들이밀지는 않으니까 사용할때에는 큰 무리가 없긴한데 배송받고 냄새 한번 맡았을때는 진짜 놀랐네요,여자혼자 끼우기힘들어서 옆에 잘라가며 끼웠구요,층간소음날까바구매했는데매우만족합니당식탁 다리를 밀면 좀 찌익 소리가 나서 층간소음 날까봐 구매했는데너무 만족해요 소리도 전혀 안나고 귀엽기도 하고식탁 다리랑 색도 어울려서 너무 좋네요,,,,,
ANAL-211104-0031,0,N,1,냄새가,너무,,,,1.62,1.44,,,
ANAL-211104-0031,1,N,1,3주동안이나 베란다에서 냄새를 뺐는데도 도저히 안빠져서 그냥 버렸어요,못쓸거같아요냄새가 너무나요,최악입니다후기 안보고 샀더니 후회됩니다고무냄새가 너무 역합니다,냄새가너무지독해사용이불가능합니다냄새가 지독합니다,냄새가지독해요상품 도착후 부터 집안에 지독한 화학 고무 냄새 때문에 모두 버렸습니다,,,,,
ANAL-211104-0039,0,P,1,벽에,,,,,1.0,,,,
ANAL-211104-0039,1,P,1,단순하고 흰색인걸 찾았는데 야구공이 최선이네요방문뒤 세곳과 세탁기 문여는 곳 4곳에 각각 붙였더니 너무 좋네요,문손잡이가 벽에 너무 퍽퍽 부딪혀대서 다이소에서 이것저것 사다 붙여봤는데 너무 맘에 안들고그러다 쿠팡에서 검색해 보고 구매했는데너무 맘에 들어요,적당히 단단한 쿠션감이 있습니다흰 벽에 붙여놓으니 상당히 귀엽네요,,,,,,,
ANAL-211104-0039,1,N,1,귀여운야구공모양패드로문찍힘보호하세요아가드 야구공 문보호패드입니다장바구니에만 담아두다가예전부터 사용해오던 문보호패드가접착이 다됫는지자꾸만 떨어지고색도변하고 딱딱한 제질이여서화장실쪽은 물기만 쪼끔만 묻어도자꾸 떨어지고해서 구매하게 되엇습니다야구공 모양이라 넘 귀엽네요말랑말랑할줄 알앗는데생각보다 말랑말랑한 제질은 아니엿구요그냥 손톱으로 누르면 약간은 들어가지만푹들어가진 않습니다이 제품은 다행이도 전체적으로 접착부분이되어잇어서 잘 붙여서 사용이 가능햇구요잦은 물기에도 잘 안떨어질것 같아요가격대비 튼튼하니 좋아보입니다색만 변색이 되지않는다면오래 사용이 가능해 보입니다항상 좋은제품 감사드립니다많이 파세요재구매의사배송은 로켓배송으로 하루만에 받아보앗구요쿠팡맨님들하루에도 수십군데 무거운짐 들고 오르락 내리락 하실텐데그래도 항상 친절한 배송스마일 배송 해주셔서 정말 정말 감사드립니다물건 량이 많을 경우죄송스러워서 힘드신데고생많으시죠항시 운전조심 하시구요울님들 언제나 좋은일들만 가득하시길 바랄게요,사이즈가 생각보다 커서 아쉬운 거 빼면 너무 좋아요싱크대가 벽을 뚫을 기세로 시끄러웠는데 쿠션이 충격을 다 먹어주네요작은 사이즈가 이 쿠션이면 쓸 곳이 많은데,,,,,,,,
ANAL-211104-0024,0,P,1,의자,좋아요,소리,,,1.53,1.14,0.85,,
ANAL-211104-0024,1,P,1,가격대비 아주 좋은 상품이며 빠른배송 또한 맘에 드네요사용해보고 맘에 들어서 또 다시 구매했습니다,이케아 식탁의자를 샀는데 움직일때마다 소리가 나서 거슬린다 싶어 주문했습니다,,,,,,,,
ANAL-211104-0024,1,N,1,주문할때 캡만 도드라지면 어쩌나 반신반의하면서 구매했어요근데 집에 식탁의자가 장식이 있어서 높이랑 두께가 안맞아서 반을 가위로 잘라서 씌우니 원목이랑 같은 컬러로 전혀 씌운 표시가 안나요바닥의 부직포부분에 먼지가 엄청 달라붙는건 청소할때 돌돌이로 살살 밀면 깨끗해요몇개 더 사서 예비용으로 두려고 해요,,,,,,,,,
ANAL-211104-0178,0,P,0,좋아요,깔끔,,,,3.16,0.79,,,
ANAL-211104-0178,1,P,0,와인잔말고 작은도자기잔도 들어가서 너무좋아요,깔끔하고 튼튼해요,좋아요,딱 좋아요,,,,,,
ANAL-211104-0178,1,N,0,좀더 잘 알아보고샀어야 했는데 와인잔이 안들어가네요 ,,,,,,,,,
ANAL-211104-0178,1,P,1,와인잔이 많아 씽크대를 정리하기 어려웠었는데 잔들을 깔끔하게 정리할 수 있어서 좋아요다만 저희 씽크대에는 약간 헐거워요 그래도 그냥 잔을 정리하는 것보다 와인 걸이에 정리하니 깔끔해서 보기 좋아요 잔 꺼내기도 편하구요 스텔라 맥주잔도 같이 걸었어요 더 구매해야겠어요,아주잘걸려있습니다싱크대 색이랑도 잘 맞고 와인잔도 잘 걸려 있고 무엇보다 나사를 박지 않아서 좋습니다,,,,,,,,
ANAL-211104-0160,0,P,0,냄새가,사용하,좋아요,깔끔,안나,2.68,1.75,1.48,1.11,0.77
ANAL-211104-0160,1,P,0,냄새나는거 버렸다 한번씩 열면 올라오는냄새에 깜짝 놀랄정도로 냄새가 밖으로 안나와요비슷한것들 저렴한것도 있는데 이거 사길 잘했어요,오랜시간 기달려서 주문하고 받았는데 새집에 잘어울려요,단 하나 아쉬운 건 겉용기 크기에 비해 실제 수거함내부 용기 은 좀 작아요,주방에 놓고 쓰기 좋고 슬라이드라서 좋아요,냄새도 없고 모양도 이쁘고 만족합니다,,,,,
ANAL-211104-0160,0,N,0,걸어놓고,좋은데,음식물,냄새,부실,3.02,1.55,1.02,1.0,0.72
ANAL-211104-0160,1,N,0,저희 싱크대 문짝에거니까 좀 덜컹거리는데 키친타월 끼워서 고정했네요ㅋㅋ,,,,,,,,,
ANAL-211104-0160,1,P,1,디자인넘깔끔해서좋아요본가에서 부모님 사용하면 좋을것같아서 구매해드렸어요추석에 방문해서 봤는데 거는것도 쉽게 걸 수 있구 쓰레기봉투도 동봉되어있는것같더라구요 아직 설치만 해보신 것 같긴한데 쓰레기통 자체도 생각보다 커서 내용물이 많이 들어갈 것 같고 디자인 자체가 깔끔해서 제 자취방에서도 써보려구여 ㅋㅋㅋㅋ,가뜩이나좁은싱크대이젠음쓰봉따로보관가능너무 마음에 듭니다싱크대에 걸어놓았는데 설거지할때 음식물쓰레기에 물이 들어갈 걱정없어서 좋구요설거지 공간을 온전히 그릇과 컵한테 내어줄 수 있어서 좋아요그리고 쓰레기통 안에 쓰레기봉투가 있네요 봉투 한번 덮어씌우고 음쓰봉을 넣어두면 밤에 버리러 갈 때도 손에 묻을 걱정이 없어요부착방식이 아닌 걸이방식으로 설치해놨어요튼튼하게 잘 매달려 있네요 아기가 호기심을 갖지 말아줬으면,모던자취방의완성자취방에 쓰레기통이 베란다에있어서그냥 씽크대에 비닐봉지 걸어놓고 사용했엇는데좋은거 발견해서 일단 구매해봤어요생각보다 대만족중입니다사진에는 저희고양이 특별출연쓰무게감도 있고 음식물 쓰레기 냄새도 안나게 위에 뚜껑도 잘 밀폐되네요디자인도 이쁘고 너무좋아요 추천합니당,사이즈도 적당하고 싱크대에 고정도 잘되서 사용하기 편하네요리필봉투도 많아서 오래 사용 가능할꺼 같아요,디자인넘깔끔해서좋아요본가에서 부모님 사용하면 좋을것같아서 구매해드렸어요추석에 방문해서 봤는데 거는것도 쉽게 걸 수 있구 쓰레기봉투도 동봉되어있는것같더라구요 아직 설치만 해보신 것 같긴한데 쓰레기통 자체도 생각보다 커서 내용물이 많이 들어갈 것 같고 디자인 자체가 깔끔해서 제 자취방에서도 써보려구여 ,,,,,
ANAL-211104-0160,1,N,1,싱크대에 걸고 사용할 수 있어서 쓰레기를 바로바로 버리기 편하고 좋아요 비닐봉지도 뽑아서 바로 갈아주면되서 편리하네요 음식물쓰레기는 냄새가 문제인데 뚜껑이 밀폐가 잘되고 숯패치 넣어서 그런지 냄새도 안나서 좋습니다,,,,,,,,,
ANAL-211104-0006,0,P,0,배송,좋네요,코알라,귀엽,좋아,1.98,1.73,1.41,1.12,1.09
ANAL-211104-0006,1,P,0,저희집  강아지 통로를위해구매했는데   생각보다 너무좋아요튼튼하고   귀엽기까지  빈틈조절하기 좋네요,빠른배송,너무 예쁘고 실용적이에요,문틈에일자로붙이는것도사용해봤는데  이게훨씬간편하고좋은것같아요,그냥 문에 끼우기만 하면 되니깐 설치랄 것도 없이 세상 편하고  아기가 막 기어다닐 때라 사고 위험이 많은데 이제 안심이 됩니다,,,,,
ANAL-211104-0006,1,N,0,금방찢어지네요 문이 조금 두꺼운편이예요같이산 수박모양 오리모양은 괜찮은제 코알라만 바로 이리 찢어지네요,만족합니다,흠 싸게산줄  알았는데  아니었고    저희집  문이 좀 두꺼운가  5개중에 3개가 금방  찢어졋어요  많이  낌엇다 뺏다그런지,,,,,,,
ANAL-211104-0006,0,P,1,좋아요,생각보다,좋네요,아기가,너무,3.95,2.63,2.44,2.31,2.12
ANAL-211104-0006,1,P,1,생각보다 튼튼하고 문에 낄때 짱짱하고 좋네요,아직까지 부러진것 없이 잘쓰고 있어요,뺐다했는데 너무 쉽게 부러지네요,생각보다는 두껍지 않아요,가성비 좋네요,,,,,
ANAL-211104-0006,0,N,1,다른,문에,문을,자꾸,바로,2.22,1.73,1.67,1.64,1.64
ANAL-211104-0006,1,N,1,무난하게 사용하기 괜찮아요,아기있는집필수품첨엔 방문 쾅다되는게 걱정되서 샀는데 문열어놓고 환기시키고 할때 아기가 경첩이라고 하나요,그냥 빼지 않고 계속 끼워두면 괜찮을 것 같기도 한데 구매한지 일주일도 안됐는데 벌써 두개가 찢어졌네요,했는데이틀만에 문 닫히면서 부러졌어요아기가 없었기에 다행이다 싶지만 불안하네요하나 교환 원합니다,문쾅집은사용하지않는걸로맞바람 심한 문 쾅 집이에요심장 떨어지게 큰 소리가나서 문을 잡아줄 제품을 검색하다 구매했는데생각보다 제품이 금방 찢어져요아무래도 바람때문에 문이 자꾸 쿵쿵 부딪혀서 더 그런가봐요한번은 새걸 끼웠는데도 크게 부딪혔는지 한번에 찢어져 떨어졌어요,,,,,
ANAL-211104-0237,0,P,0,샘플,있어서,좋아요,좋았어요,감사합니다,5.21,2.16,1.87,1.86,1.24
ANAL-211104-0237,1,P,0,샘플보고 결정하려고 구매했어요,받아보고 미관상 좋진 않았지만 샘플 덕분에 매트를 잘 비교했습니다,샘플잘받았습니다,샘플을 이렇게 큰사이즈로 주시다니 좋네요,샘플이니까 무늬고르는 데 도움 되었습니다,,,,,
ANAL-211104-0237,0,N,0,샘플,,,,,0.72,,,,
ANAL-211104-0237,1,N,0,아가드 샘플받아보니 다른 롤매트는 구매하고싶지않어요,아가드 샘플받아보니 다른 롤매트는 구매하고싶지않어요ㅜㅠ,,,,,,,,
ANAL-211104-0071,0,P,0,좋아요,아직,너무,모기,귀엽고,8.37,6.58,5.8,5.22,3.68
ANAL-211104-0071,1,P,0,어차피 디자인때문에 샀으니 이것만으로도 5점 충분하다고 생각합미댜,아직 사용전이긴한데 디자인 너무 귀여워요,어제도착했어요,아이들꺼 두개 구매하면서 조카도 선물로 주려고 같이 샀어요,산소갈때도 써보고 밭일 할때도 썼는데 확실히 효과있어요,,,,,
ANAL-211104-0071,0,N,0,모기,아직,너무,아기,효과는,5.49,4.39,2.36,2.33,2.27
ANAL-211104-0071,1,N,0,휴가때 시골갈때 벌레들때메 꼭 쓰고싶었는데 제품은 배송이 늦게와버려서 사실 휴가때 사용 못했어요,매일 착용하긴했으나 기피제2개째 쓰기도 전에 못 쓸 것 같아요,아기외출용으로구매하여서 잘사용하고있어요다좋은데아쉬운게 조금더길게 만들어쥬셔도될고같아요,모기가 우리한테 안와요 시댁이 촌이라서 아들이랑 저랑 같이 하고 갔는데 둘빼고는 다 모기에 물렸어요,일단 아로마향이라해야하나 향은 진해서 모기퇴치에는 좋을것 같아요,,,,,
ANAL-211104-0071,1,P,1,어떻게 이럴수있죠 팔찌를 시켰더니 리필만 와서 두번을 교환했는데 마지막까지 리필만 오네요 팔찌는 아예 안주시는 건가요 이제포기하고 취소합니다 세번이나 같은 리필만 오다니 정말 충격적이네요,기여움이 다했다나따시 20대 여자임일하는 회사에 모기가 너무 많아서 스트레스 받다가 시켰는데향도 좋고 너무너무너무너무 귀엽따팔찌로 찬 팔은 확실히 모기가 안물림거기빼고 다 물림아가는 작으니까 전체가 안물릴 수도 있겠다 싶기는 함너무 기여워서 귀여운걸로 회사 언니들 다 영입함,,,,,,,,
ANAL-211104-0030,0,P,0,좋아요,먼지,않고,부드럽,소리,4.15,1.69,1.5,1.24,0.8
ANAL-211104-0030,1,P,0,SAFE4U 먼지가 붙지않는 불소수지 의자발캡 원형25mm 새로 구입한 바체어가 움직일때마다 소리가 크게 나서 폭풍검색 후 구입했습니다,제품 깔끔하고 좋네요크기도 딱 맞고 바닥 스크래치 방지를 위해 샀는데 의자 밀 때 소리도 나지 않고 좋습니다,미끄럽지도 않고 잘 사용할 수 있습니다,기존에 쓰고 있었던거라 상품성은 알고 있었습니당 일단 소리도 안나고 부드럽게 밀리고 먼지 안붙는게 제일 좋아요,아주좋아요부드럽게 밀리고 먼지 전혀 붙지 않고몇년전 처음,,,,,
