ANAL_CODE,KEYWORD_GUBUN,KEYWORD_POSITIVE,SITE_GUBUN,RLT_VALUE_01,RLT_VALUE_02,RLT_VALUE_03,RLT_VALUE_04,RLT_VALUE_05,RLT_VALUE_06,RLT_VALUE_07,RLT_VALUE_08,RLT_VALUE_09,RLT_VALUE_10
ANAL-211104-0011,0,P,0,좋아요,좋습니다,감사합니다,만족합니다,좋네요,8.84,3.53,3.22,2.71,2.53
ANAL-211104-0011,1,P,0,기존에 다른사이트꺼 사다 붙였었는데 요기 아가드꺼 주문해서 붙여보니 짱 잘붙어요,써보고 재구매할것같아요,만족합니다,싸게 잘 산거같아요,좋습니다,,,,,
ANAL-211104-0011,0,N,0,않아요,너무,배송이,아기가,좋아,2.42,1.87,1.27,1.09,0.83
ANAL-211104-0011,1,N,0,아이보리 색상꺼는 붉은색 물이 간혹 이염되어있어요,너무 폭신하면 방문이 어느 정도 닫힐거같은 걱정이 있었는데 단단해서 그럴 것 같지는 않아요,쓰기 딱 좋아요,괜찮은거같아요,우레탄이 너무 물렁하네요,,,,,
ANAL-211104-0011,0,P,1,좋아요,좋네요,경첩에,문이,자꾸,10.49,5.57,4.65,4.59,3.05
ANAL-211104-0011,1,P,1,보기보다견고한재질입니다그렇다고 엄청나게 단단한 건 아니구요,정말 세게 문을 닫지 않는 이상 부러지지 않고 튼튼하고 좋아요,문이 완전히 닫히지는 않는데문이 벽쪽으로 완전 복귀하진 않네요그래도 꽝소리는 안나서 좋아요단지끼워놓는거까진 좋은데 고정이랄까잘 안되서가끔 벽쪽으로 밀리면 빠져요고리같은 부분이 조금만 더 길어서 딱 고정시킬수 있음,폭신해서 문이 상할 일도 없고 고정도 잘 되고 끼고 빼기 편하고 모양도 귀여워요,닫았다 해서 구매했어요뺐다 꼈다 하기도 좋고 문도 잘 고정되어 좋습니다사실 문 모서리가 두 부분이라 안쪽과 바깥쪽 어디에 손이 끼어도 아기에게 위험한데경첩에 껴놓는 제품이 안쪽 문 모서리까지도 안전하게 잡아줘서 더 좋은것 같아요,,,,,
ANAL-211104-0011,0,N,1,문이,문을,아기가,너무,경첩,9.56,7.09,6.14,4.17,3.86
ANAL-211104-0011,1,N,1,잠이 덜깬상태에 주문실수를 해서 9p 왔거든요휴반품하기는 귀찮고집이 14층인데 바람불면 안방문 어찌나 요란스럽게구는지이아이는 굳이 좋은점 몰겠어요오히려 불편하다는 생각이 많이 들거든요아침 저녁으로 바닥딱는데 항상 빼고 문뒤를 딲아야하는 부분이 넘 불편해요하나 꽂은상태서는 별 활용이 안대고 3개를 꽂아야 합니다별루에요,저희 집 방문엔 안맞네요,기대했던 것보다 문이 열려 있게 되는 최소각이 큽니다,앞으로 훅밀려나와서 아기가 서있다가 문에밀려 넘어졌어요,타워형 아파트라서 그런지 바람이 거세 문닫히는소리에 심장이 내려앉는게 여러번이었는데진작에 살걸 흐규흐규 3개중 한개가 플라스틱부분 동그란 뚜껑같은게 분리됐어요,,,,,
ANAL-211104-0107,0,P,1,케이블,너무,깔끔하게,좋아,정리,1.8,1.77,1.35,1.27,1.13
ANAL-211104-0107,1,P,1,너무 촌스러움모던한 색만 구매가능했으면 합니다,정리가 깔끔하게 되네요,빠른배송감사합니다,싸고좋은매직케이블저희 집 냥이에게 정수기 사줬는데 이 친구가 케이블 무는 걸 너무 좋아해서 하루 만에 펌프가 죽게 생겨서 급하게 샀습니다,집에 애완동물이 전선 물어뜯을까봐 정리용으로 구입했습니다,,,,,
ANAL-211104-0107,0,N,1,전선,,,,,1.37,,,,
ANAL-211104-0107,1,N,1,전선에 감아놓으면 냥이가 전선을안물어서 집에 웬만한 전선에 다 감아놓았어요,충동구매입니다이리저리 유용히 쓸것같아요,이빨자국들이 보이는게 시도는한것같은데 아직 성공못한것같아요,책상지정이 안되서 아쉬웠는데 거기다 맘에 안든색상이 왔네요,고양이가 전선물어뜯어서 구매했어요,,,,,
ANAL-211104-0064,0,P,1,좋아요,모서리,날카로워서,구매했는데,사이즈,5.13,3.31,2.66,2.3,2.17
ANAL-211104-0064,1,P,1,새로 구입한 책꽂이 모서리가 생각보다 날카로와서 사이즈 보고 구입했어요사이즈 잘 확인하세요,좋아요감사합니다좋아요,깔끔하고좋아요드레스룸 아일랜드 서랍장이 유리고정이안되서 고민하다가 모서리가드로 했어요유리도 안움직이고 모서리도 찧일염려없어서 좋아요,모서리가 날카로워서 구매했는데 사이즈 딱맞고 좋아요아기가 신기한지 몇번 맛보더니 맛없는지 이젠 안먹네요,사지마집에강력양면테이프없으면별하나도 아까울 정도의 접착력 그리고 가성비 우선 동봉된 상하 양면 테이프를 4방향 붙여도 손가락으로 살짝만 건들어도 떨어짐 몇 일후면집에 좋은 야면 테이프 있으면 재 작업해야함,,,,,
ANAL-211104-0064,0,N,1,너무,떨어,있어,모서리,얇고,6.19,2.94,2.48,2.22,2.2
ANAL-211104-0064,1,N,1,아이때문에구매했어요요즘 애기가 기어다니기 시작하면서   아이고 집안 곳곳 못가는곳이 없네요,좋은데아기가쉽게뗌떨어져요돌아기가 있어 티비다이모서리 식탁에 붙여놨는데 티비다이모서리 다떨어져있어요아기가 뗀것같아요,돈주고 산게 아깝습니다아기 다치지 말라고 붙힌건데 전혀 도움이 되지 않습니다완전 비추 완전 비추 입니다별하나 준거 조차 아깝습니다,초슬림이 뭔가했더니 아기 손가락만한거네요,후기에 작다고 한거 봤는데 생각보다 더 작아서 깜놀 크기와 갯수에 비하면 가격대는 좀 비싼듯해요,,,,,
ANAL-211104-0208,0,P,0,좋아요,너무,디자인도,,,1.66,1.49,1.28,,
ANAL-211104-0208,1,P,0,잘 쓰고 있습니다,마감부분이 좀 미흡하지만 디자인도 이쁘고 좋아요물받침대 있었음,한가지 아쉬운건 바닥이 막혀있는건 줄 알았는데 뚫려있어서 설거지 후 건조후 걸어둬야해요,디자인도 심플해서 너무 좋았습니다실리콘이있어서 컵이 고정되고 밀리거나 컵 안이 흠이 나지 않아서 너무 좋았습니다,화면과 같구요,,,,,
ANAL-211104-0208,1,N,0,선물 줬는디 맘에들어하네요,이쁘긴한데 중간에께 짧네요길이가안맞음 짝짝이,,,,,,,,
ANAL-211104-0208,1,P,1,화이트amp우드더쿠면필구임추천합니당1개인줄 알고 주문했는데 2개가 뙇 요즘 인테리어에 부쩍 관심이많아서 요런거 구매하는 낙으로 살구있네용화이트우드톤이라 색감도 너무 마음에들고 아래 미끄러지지말라고 실리콘마감 실리콘발 그런것도 있더라구요덕분에 너무 이쁜 주방 완성이에요추천추천,단순하지만안정감있는스탠드입니다다양한 사이즈로 활용가능해서 너무 잘쓰고 있습니다컵부터 보온병까지 같이 걸고 있는데 안 넘어지고 안정감 있어서 너무 좋아요,,,,,,,,
ANAL-211104-0117,0,P,0,배송,,,,,1.35,,,,
ANAL-211104-0117,1,P,0,탈부착이 귀찮지만 자동차가 깨끗해지는 마법은 있네요,상품 좋습니다,배송이 늦어 사용은 못했지만 다음번에 사용하려합니다,아직설치전이지만 배송상태가 맘에 듭니다,아이가끄면서 패드도보고 간식도먹어야했는데 키즈트레이가 있어서 편리하네요흘려두치우기편하고  책도볼수있어서 굿아이템이에요,,,,,
ANAL-211104-0117,0,N,0,과자,차에,있어,장난감이,냄새,1.74,1.04,1.0,1.0,1.0
ANAL-211104-0117,1,N,0,애기 카시트거부가와서 장난감이랑 같이 태우고있는데 장난감이 자꾸 떨어지니깐 더 울어서 구입했어요,다만 차에서 과자먹게되면 과자 부스러기가 카시트에 끼이고 차에 여기저기 날리는건 어쩔 수 없네요,사용상 나쁘진않아요,,,,,,,
ANAL-211104-0117,0,P,1,같아서,트레이를,저희집,구매,이벤트로,2.9,2.8,2.76,2.71,2.62
ANAL-211104-0117,1,P,1,쿠팡체험단 이벤트로 상품을 무료로 제공 받아 작성한 구매 후기입니다,실용적이게잘만들어진거같아요자꾸 둘째가 카시트 타는거를 너무 싫어해서장난감을 하나씩 주기 시작했는데자꾸 떨어뜨려서 테이블이 있음,,,,,,,,
ANAL-211104-0117,0,N,1,장난감,장거리,그리고,해서,떨어졌다,4.26,2.75,2.32,1.83,1.66
ANAL-211104-0117,1,N,1,시댁이 4시간 거리라 한번 내려갈라치면 큰맘먹고가는데이번에 결혼식이 있어서 급하게 주문했네요장바구니에 몇가지 담아놓고 비교하다가 장난감도 따로 가방에 안넣어도 될것같아서 구매했는데 괜찮네요일단 처음,장거리 이동시 차에서 김밥같은거 먹일때도 트레이에 놓고 먹이니 좀 편하네요다만 앉고 내릴때 애 허리나 카시트 뒤로 벨트를 메고 풀어야 해서 그게 좀 번거롭긴해요,아기가 조금 크니까 카시트에 있는 시간을 굉장히 지루해하네요전에 키즈트레이를 봤다가 머 필요있을까 싶어 안샀었다가 이번에 마련했는데 의외로 활용도가 높더라구요,장거리 이동시 차에서 김밥같은거 먹일때도 트레이에 놓고 먹이니 좀 편하네요다만 앉고 내릴때 애 허리나 카시트 뒤로 벨트를 메고 풀어야 해서 그게 좀 번거롭긴해요 ㅠㅠ,,,,,,
ANAL-211104-0097,0,P,0,사용,무난합니다,있습니다,화면과,색상은,2.44,2.2,1.82,1.75,1.72
ANAL-211104-0097,1,P,0,방 한가운데를 가로지르는 지저분한 전선 가리는데 사용 중인데  만족하며 사용하고 있습니다,이번엔 많이 구매하지도 않았는데 모서리보호대랑 바닥보호스티커 챙겨주셨네요,화면과 색상은 약간 달라요  그렇지만 다행히 가구  바닥 색과 엄청 안어울리는 정도는 아니어서 나름 만족하며 사용 중입니다,물건도 싸고 좋고 서비스도 챙겨주셔서 좋아요,,,,,,
ANAL-211104-0097,1,N,0,만족합니다,,,,,,,,,
ANAL-211104-0173,1,P,0,튼튼하게 잘 붙어 있고 좋아요 많이 파세오,화장실 모서리에 알맞게 물건을 올려놓을수 있고튼튼하게 고정되고 이쁘네요,,,,,,,,
